player,team,pos,pos_rank,tier,pts_proj,vor,score,ppg_proj,adp_overall
Kyler Murray,,QB,11,5,292.50860294117643,2.5180779411764433,-1.4819220588235567,17.727794117647058,
Jakobi Meyers,,WR,23,8,235.48318749999999,2.2605404411764596,-1.7394595588235404,14.271708333333333,
D'Andre Swift,,RB,23,8,206.85176470588235,0.7048897058823513,-3.2951102941176487,12.536470588235293,
Bo Nix,,QB,12,5,289.990525,0.0,-4.0,17.57518333333333,
Garrett Wilson,,WR,24,8,233.22264705882353,0.0,-4.0,14.134705882352941,
Chase Brown,,RB,24,8,206.146875,0.0,-4.0,12.49375,
Dallas Goedert,,TE,12,8,172.227,0.0,-4.0,10.438,
Courtland Sutton,,WR,25,8,230.59841911764704,-2.6242279411764855,-6.6242279411764855,13.975661764705881,
Adam Thielen,,WR,26,8,228.38426470588232,-4.83838235294121,-8.83838235294121,13.841470588235293,
Tyler Higbee,,TE,13,8,162.46518749999998,-9.761812500000019,-13.761812500000019,9.846374999999998,
Zach Ertz,,TE,14,8,161.81903571428572,-10.407964285714286,-14.407964285714286,9.807214285714286,
Rhamondre Stevenson,,RB,25,8,195.54424999999998,-10.602625000000018,-14.602625000000018,11.851166666666666,
Cooper Kupp,,WR,27,8,222.2803846153846,-10.94226244343892,-14.94226244343892,13.471538461538461,
Brian Robinson,,RB,26,8,195.07270588235292,-11.074169117647074,-15.074169117647074,11.822588235294116,
Jordan Addison,,WR,28,8,222.09485294117647,-11.127794117647056,-15.127794117647056,13.46029411764706,
Najee Harris,,RB,27,8,192.67416666666668,-13.472708333333316,-17.472708333333316,11.677222222222223,
Justin Herbert,,QB,13,6,275.9372564102564,-14.053268589743595,-18.053268589743595,16.723470085470083,
Tyrell Shavers,,WR,29,8,219.02925,-14.193397058823535,-18.193397058823535,13.2745,
Jimmy Garoppolo,,QB,14,6,274.7108571428571,-15.279667857142897,-19.279667857142897,16.649142857142856,
DK Metcalf,,WR,30,8,216.957125,-16.265522058823535,-20.265522058823535,13.148916666666667,
Austin Ekeler,,RB,28,8,188.44414285714282,-17.702732142857172,-21.702732142857172,11.420857142857141,
Jaxon Smith-Njigba,,WR,31,8,215.5094117647059,-17.713235294117624,-21.713235294117624,13.061176470588236,
Dak Prescott,,QB,15,6,270.92725,-19.063274999999976,-23.063274999999976,16.419833333333333,
Cade Otton,,TE,15,8,152.10047368421053,-20.126526315789476,-24.126526315789476,9.21821052631579,
Russell Wilson,,QB,16,6,269.75024999999994,-20.240275000000054,-24.240275000000054,16.348499999999998,
Tua Tagovailoa,,QB,17,6,268.43449999999996,-21.556025000000034,-25.556025000000034,16.268757575757572,
Hunter Henry,,TE,16,8,150.61485576923076,-21.612144230769246,-25.612144230769246,9.128173076923076,
Xavier Worthy,,WR,32,8,210.40409210526315,-22.81855495356038,-26.81855495356038,12.751763157894736,
Pat Freiermuth,,TE,17,8,149.04083333333332,-23.18616666666668,-27.18616666666668,9.032777777777778,
Travis Etienne,,RB,29,8,182.4822352941176,-23.664639705882394,-27.664639705882394,11.059529411764704,
Rashid Shaheed,,WR,33,8,209.47299999999998,-23.74964705882354,-27.74964705882354,12.695333333333332,
Jerry Jeudy,,WR,34,8,207.53966911764707,-25.68297794117646,-29.68297794117646,12.578161764705882,
Jordan Love,,QB,18,6,264.0511282894737,-25.939396710526296,-29.939396710526296,16.003098684210528,
Zay Flowers,,WR,35,8,207.07176470588237,-26.150882352941153,-30.150882352941153,12.549803921568628,
Jake Ferguson,,TE,18,8,145.09,-27.137,-31.137,8.793333333333333,
Zack Moss,,RB,30,8,178.20883928571428,-27.938035714285718,-31.938035714285718,10.800535714285713,
Anthony Richardson,,QB,19,6,261.4695,-28.52102500000001,-32.52102500000001,15.846636363636362,
Cole Kmet,,TE,19,8,142.9415625,-29.2854375,-33.2854375,8.663125,
Kareem Hunt,,RB,31,8,175.39499999999998,-30.751875000000013,-34.75187500000001,10.629999999999999,
Calvin Ridley,,WR,36,8,202.28029411764706,-30.942352941176466,-34.942352941176466,12.259411764705883,
George Pickens,,WR,37,8,201.7895,-31.433147058823522,-35.43314705882352,12.229666666666667,
Joe Flacco,,QB,20,6,257.8125,-32.17802499999999,-36.17802499999999,15.625,
Tucker Kraft,,TE,20,8,138.7340625,-33.49293750000001,-37.49293750000001,8.408125,
Jameson Williams,,WR,38,8,198.99824999999998,-34.22439705882354,-38.22439705882354,12.0605,
Geno Smith,,QB,21,6,255.71932941176468,-34.271195588235315,-38.271195588235315,15.498141176470586,
Rico Dowdle,,RB,32,8,171.32216911764706,-34.82470588235293,-38.82470588235293,10.383161764705882,
Isaiah Likely,,TE,21,8,137.35461397058822,-34.872386029411786,-38.872386029411786,8.32452205882353,
Joshua Dobbs,,QB,22,6,254.5061538461538,-35.48437115384618,-39.48437115384618,15.424615384615382,
Michael Pittman,,WR,39,8,197.71125,-35.51139705882352,-39.51139705882352,11.9825,
Jerome Ford,,RB,33,8,170.60999999999999,-35.53687500000001,-39.53687500000001,10.34,
Tank Dell,,WR,40,8,197.17499999999998,-36.04764705882354,-40.04764705882354,11.95,
Josh Downs,,WR,41,8,197.13132352941173,-36.091323529411795,-40.091323529411795,11.947352941176469,
Tyrone Tracy Jr.,,RB,34,8,168.97601470588236,-37.17086029411763,-41.17086029411763,10.240970588235294,
Deebo Samuel Sr.,,WR,42,8,194.832,-38.39064705882353,-42.39064705882353,11.808,
Jayden Reed,,WR,43,8,193.96666666666664,-39.255980392156886,-43.255980392156886,11.755555555555555,
Juwan Johnson,,TE,22,8,131.79523076923076,-40.43176923076925,-44.43176923076925,7.9875897435897425,
Trevor Lawrence,,QB,23,7,248.9293125,-41.06121249999998,-45.06121249999998,15.086625,
Dalton Schultz,,TE,23,8,130.3740092879257,-41.8529907120743,-45.8529907120743,7.901455108359133,
Dalton Kincaid,,TE,24,8,130.2640625,-41.96293750000001,-45.96293750000001,7.894791666666666,
Kyle Pitts,,TE,25,8,129.11735294117645,-43.109647058823555,-47.109647058823555,7.825294117647058,
Javonte Williams,,RB,35,8,160.80166666666668,-45.34520833333332,-49.34520833333332,9.745555555555557,
Jauan Jennings,,WR,44,8,187.8683125,-45.354334558823524,-49.354334558823524,11.385958333333333,
Derek Carr,,QB,24,7,244.49797058823526,-45.49255441176473,-49.49255441176473,14.81805882352941,
Tay Martin,,WR,45,8,187.51425,-45.70839705882352,-49.70839705882352,11.3645,
Zach Charbonnet,,RB,36,8,159.80674632352938,-46.34012867647061,-50.34012867647061,9.685257352941175,
Tony Jones,,RB,37,8,159.39,-46.75687500000001,-50.75687500000001,9.659999999999998,
Matthew Stafford,,QB,25,7,242.8348541666667,-47.15567083333329,-51.15567083333329,14.71726388888889,
C.J. Stroud,,QB,26,7,242.4897213622291,-47.5008036377709,-51.5008036377709,14.696346749226006,
Tyler Conklin,,TE,26,8,123.84038602941177,-48.38661397058823,-52.38661397058823,7.505477941176471,
